tsr,cp
0.9029535864978904, 0.01177446102819224
1.5105485232067508, 0.027031509121061337
2.1350210970464136, 0.05555555555555558
2.438818565400844, 0.07412935323383074
3.0632911392405067, 0.11791044776119408
3.147679324894515, 0.1351575456053068
3.70464135021097, 0.3587064676616915
3.957805907172996, 0.40580431177446097
4.075949367088609, 0.4243781094527363
4.497890295358651, 0.4462686567164179
4.49789029535865, 0.45621890547263677
4.869198312236287, 0.4469320066334992
4.953586497890297, 0.45688225538971805
5.054852320675104, 0.4489220563847429
5.39240506329114, 0.45223880597014926
5.527426160337552, 0.4621890547263681
5.662447257383966, 0.45887230514096183
5.932489451476793, 0.4615257048092869
6.050632911392403, 0.46948590381426203
6.286919831223629, 0.46019900497512434
6.523206751054853, 0.4621890547263682
6.624472573839664, 0.45489220563847427
6.87763713080169, 0.4522388059701492
7.012658227848102, 0.44427860696517407
7.029535864978901, 0.4502487562189055
7.367088607594938, 0.43167495854063015
7.51898734177215, 0.42968490878938637
7.417721518987343, 0.42106135986732995
7.789029535864979, 0.4024875621890547
8.042194092827007, 0.39121061359867326
8.430379746835445, 0.35804311774461023
8.767932489451479, 0.32222222222222213
9.037974683544306, 0.29966832504145935
9.105485232067512, 0.2877280265339967
9.763713080168777, 0.19751243781094524
9.932489451476794, 0.17827529021558863
9.966244725738399, 0.16301824212271976
10.675105485232066, 0.07346600331674957
10.810126582278482, 0.04494195688225533
10.928270042194093, 0.029021558872305175
