tsr,cd
0.902220757572362, 0.18193574808591229
1.524480804732665, 0.2352454479428956
2.146510489488115, 0.3022329155881758
2.919913870056405, 0.38140719434588277
3.0711851825782013, 0.399673013364219
3.9427229476149463, 0.652118214307425
4.0266516504506455, 0.6688514834379028
4.4633675784112015, 0.7388432607798406
4.900800189409086, 0.76628198278041
5.438901171328837, 0.8165361812952123
5.8760010366308215, 0.8637316789899886
6.027246753329855, 0.8835172499848024
6.38054589490995, 0.9063807186667134
6.498209892145599, 0.920080882799927
6.868351085102908, 0.9429475509596832
7.002805942070253, 0.9596904185236967
7.33939101138694, 0.9749519278453755
7.473820272531523, 0.9932145473858665
7.8441150404254, 1.006962703686758
8.012254000147177, 1.023711970206462
8.75294591922598, 1.0451292749023358
9.022009208097234, 1.0694964981714983
9.729349770117516, 1.0711506282174748
9.965036106107483, 1.0772744288132174
10.790015069540647, 1.0941484749688848
10.890862611221849, 1.1063256876477756
11.194045131834478, 1.1048635262725122
11.210656820806843, 1.1185444935386544
