y_R, meanupup_Uinfty2
-2.2657657657657655, 0.00004706734250542466
-2.1306306306306304, 0.00007603186097030618
-1.9999999999999998, 0.00007603186097030618
-1.8648648648648647, 0.0001629254163649438
-1.729729729729729, 0.0004236060825488705
-1.6666666666666665, 0.0009160028964518424
-1.599099099099099, 0.0018139029688631417
-1.531531531531531, 0.0033490224475018066
-1.4639639639639634, 0.005434467776973206
-1.400900900900901, 0.007635771180304125
-1.3333333333333335, 0.009083997103548153
-1.1981981981981984, 0.010821868211440974
-1.1306306306306304, 0.010184648805213609
-1.067567567567567, 0.00902606806661839
-1, 0.006303403330919617
-0.9369369369369367, 0.003262128892107162
-0.7972972972972969, 0.0014663287472845704
-0.666666666666667, 0.0012635771180304067
-0.5315315315315314, 0.0010897900072411246
-0.400900900900901, 0.001118754525706006
-0.32882882882882836, 0.001437364228819689
-0.26576576576576594, 0.0020166545981172984
-0.1981981981981984, 0.002711803041274434
-0.13513513513513464, 0.003638667632150608
-0.06306306306306286, 0.00459449674149167
0.0045045045045042365, 0.0049999999999999975
0, 0.005405503258508318
0.06756756756756754, 0.005724112961622008
0.13513513513513553, 0.006795800144822589
0.2702702702702706, 0.008533671252715418
0.400900900900901, 0.007954380883417808
0.400900900900901, 0.008186097031136846
0.5360360360360361, 0.007317161477190436
0.6036036036036037, 0.007027516292541627
0.7387387387387387, 0.006071687183200579
0.8018018018018016, 0.006448225923244025
0.8693693693693691, 0.007548877624909481
0.9369369369369367, 0.010068790731354083
0.9999999999999996, 0.013544532947139747
1.067567567567567, 0.0164409847936278
1.2027027027027022, 0.019279507603186086
1.2702702702702706, 0.018787110789283128
1.3333333333333335, 0.01655684286748732
1.400900900900901, 0.013225923244026064
1.4684684684684686, 0.008881245474293982
1.5360360360360361, 0.005376538740043443
1.6036036036036037, 0.002480086893555389
1.6711711711711712, 0.0013215061549601698
1.8018018018018016, 0.0003656770456191144
1.9369369369369367, 0.0001339608979000692
2.072072072072072, 0.00010499637943518075
2.202702702702702, 0.00007603186097029924
2.337837837837838, 0.00010499637943518769
